Date,SPY_Close,SPY_Volume,SPY_Volatility,기준금리,SPY_PER,SPY_PBR,US_GDP,TNX_Close,CPIAUCSL
2022-11-07,379.9500122070313,68286900,5.040008544921875,4.0,22.07,3.6,22125625.0,0.4214000225067139,298.708
2022-11-08,382.0,84641100,7.399993896484375,4.0,22.07,3.6,22125625.0,0.4125999927520752,298.708
2022-11-09,374.1300048828125,78495500,7.530029296875,4.0,22.07,3.6,22125625.0,0.4151000022888184,298.708
2022-11-10,394.6900024414063,141455800,9.399993896484377,4.0,22.07,3.6,22125625.0,0.3828999996185303,297.979
2022-11-11,398.510009765625,93839900,5.740020751953125,4.0,22.07,3.6,22125625.0,0.3812999963760376,297.979
2022-11-14,395.1199951171875,71903500,5.350006103515625,4.0,22.07,3.6,22125625.0,0.3865000009536743,297.979
2022-11-15,398.489990234375,93194500,7.82000732421875,4.0,22.07,3.6,22125625.0,0.3799000024795532,297.979
2022-11-16,395.4500122070313,68508500,2.989990234375,4.0,22.07,3.6,22125625.0,0.3691999912261963,297.979
2022-11-17,394.239990234375,74496300,4.80999755859375,4.0,22.07,3.6,22125625.0,0.3775000095367432,297.979
2022-11-18,396.0299987792969,92922500,4.769989013671875,4.0,22.07,3.6,22125625.0,0.3818000078201294,297.979
2022-11-21,394.5899963378906,51243200,3.160003662109375,4.0,22.07,3.6,22125625.0,0.3825000047683716,297.979
2022-11-22,399.8999938964844,60429000,4.920013427734375,4.0,22.07,3.6,22125625.0,0.3757999897003173,297.979
2022-11-23,402.4200134277344,68261600,3.6199951171875,4.0,22.07,3.6,22125625.0,0.3706000089645386,297.979
2022-11-25,402.3299865722656,30545400,1.3699951171875,4.0,22.07,3.6,22125625.0,0.3690999984741211,297.979
2022-11-28,395.9100036621094,67881600,5.70001220703125,4.0,22.07,3.6,22125625.0,0.3703000068664551,297.979
2022-11-29,395.2300109863281,52310000,4.0,4.0,22.07,3.6,22125625.0,0.3747999906539917,297.979
2022-11-30,407.6799926757813,144566700,14.199981689453123,4.0,22.07,3.6,22125625.0,0.3703000068664551,297.979
2022-12-01,407.3800048828125,76398200,5.25,4.0,22.65,3.6,22125625.0,0.3529000043869018,297.979
2022-12-02,406.9100036621094,85342700,5.719970703125,4.0,22.65,3.6,22125625.0,0.350600004196167,297.979
2022-12-05,399.5899963378906,77289800,6.759979248046875,4.0,22.65,3.6,22125625.0,0.3598999977111816,297.979
2022-12-06,393.8299865722656,77972200,8.3499755859375,4.0,22.65,3.6,22125625.0,0.3513000011444092,297.979
2022-12-07,393.1600036621094,65927900,3.670013427734375,4.0,22.65,3.6,22125625.0,0.3407999992370605,297.979
2022-12-08,396.239990234375,60737900,4.089996337890625,4.0,22.65,3.6,22125625.0,0.3490999937057495,297.979
2022-12-09,393.2799987792969,81447700,4.470001220703125,4.0,22.65,3.6,22125625.0,0.3566999912261963,297.979
2022-12-12,398.9500122070313,75405800,5.540008544921875,4.0,22.65,3.6,22125625.0,0.3611000061035156,297.979
2022-12-13,401.9700012207031,123782500,11.41998291015625,4.0,22.65,3.6,22125625.0,0.3500999927520752,298.708
2022-12-14,399.3999938964844,108111300,9.19000244140625,4.0,22.65,3.6,22125625.0,0.3503000020980835,298.708
2022-12-15,389.6300048828125,117705900,7.3599853515625,4.5,22.65,3.6,22125625.0,0.3450000047683715,298.708
2022-12-16,383.2699890136719,119858000,5.53997802734375,4.5,22.65,3.6,22125625.0,0.3482000112533569,298.708
2022-12-19,380.0199890136719,79878100,5.540008544921875,4.5,22.65,3.6,22125625.0,0.3581000089645386,298.708
2022-12-20,380.5400085449219,74427200,4.3800048828125,4.5,22.65,3.6,22125625.0,0.3684000015258789,298.708
2022-12-21,386.2300109863281,78167400,4.720001220703125,4.5,22.65,3.6,22125625.0,0.3684000015258789,298.708
2022-12-22,380.7200012207031,100120900,11.44000244140625,4.5,22.65,3.6,22125625.0,0.3668999910354614,298.708
2022-12-23,382.9100036621094,59857300,5.029998779296875,4.5,22.65,3.6,22125625.0,0.3750999927520752,298.708
2022-12-27,381.3999938964844,51638200,3.5,4.5,22.65,3.6,22125625.0,0.3859999895095825,298.708
2022-12-28,376.6600036621094,70911500,6.970001220703125,4.5,22.65,3.6,22125625.0,0.388700008392334,298.708
2022-12-29,383.4400024414063,66970900,5.27001953125,4.5,22.65,3.6,22125625.0,0.3835000038146973,298.708
2022-12-30,382.4299926757813,84022200,4.149993896484375,4.5,22.65,3.6,22125625.0,0.3878999948501587,298.708
2023-01-03,380.8200073242188,74850700,8.600006103515625,4.5,22.82,3.75,22278345.0,0.3792999982833862,298.708
2023-01-04,383.760009765625,85934100,5.8800048828125,4.5,22.82,3.75,22278345.0,0.370900011062622,298.708
2023-01-05,379.3800048828125,76970500,3.079986572265625,4.5,22.82,3.75,22278345.0,0.3720000028610229,298.708
2023-01-06,388.0799865722656,104189600,9.839996337890623,4.5,22.82,3.75,22278345.0,0.3569000005722046,298.708
2023-01-09,387.8599853515625,73978100,6.029998779296875,4.5,22.82,3.75,22278345.0,0.3516999959945678,298.708
2023-01-10,390.5799865722656,65358100,4.3800048828125,4.5,22.82,3.75,22278345.0,0.3621000051498413,298.708
2023-01-11,395.5199890136719,68881100,4.220001220703125,4.5,22.82,3.75,22278345.0,0.3553999900817871,298.708
2023-01-12,396.9599914550781,90157700,6.069976806640625,4.5,22.82,3.75,22278345.0,0.3448999881744384,298.808
2023-01-13,398.5,63903900,5.760009765625,4.5,22.82,3.75,22278345.0,0.3510999917984009,298.808
2023-01-17,397.7699890136719,62677300,3.170013427734375,4.5,22.82,3.75,22278345.0,0.3535000085830688,298.808
2023-01-18,391.489990234375,99632300,8.839996337890625,4.5,22.82,3.75,22278345.0,0.3375,298.808
2023-01-19,388.6400146484375,86958900,3.819976806640625,4.5,22.82,3.75,22278345.0,0.3397000074386597,298.808
2023-01-20,395.8800048828125,91806400,7.660003662109375,4.5,22.82,3.75,22278345.0,0.3483999967575073,298.808
2023-01-23,400.6300048828125,84178800,6.92999267578125,4.5,22.82,3.75,22278345.0,0.3525000095367431,298.808
2023-01-24,400.2000122070313,59524900,3.509979248046875,4.5,22.82,3.75,22278345.0,0.3469000101089478,298.808
2023-01-25,400.3500061035156,84800300,7.1400146484375,4.5,22.82,3.75,22278345.0,0.3461999893188476,298.808
2023-01-26,404.75,72287400,4.8900146484375,4.5,22.82,3.75,22278345.0,0.3493000030517578,298.808
2023-01-27,405.6799926757813,68346200,4.720001220703125,4.5,22.82,3.75,22278345.0,0.3517999887466431,298.808
2023-01-30,400.5899963378906,74202000,4.850006103515625,4.5,22.82,3.75,22278345.0,0.3551000118255615,298.808
2023-01-31,406.4800109863281,86811800,5.760009765625,4.5,22.82,3.75,22278345.0,0.3529000043869018,298.808
2023-02-01,410.7999877929688,101459200,11.32000732421875,4.5,23.4,3.75,22278345.0,0.3397000074386597,298.808
