기업,날짜,회계연도,분기,"주당순이익
EPS(달러)","주당순자산
BPS(달러)","주당매출액
SPS(달러)","주당현금흐름
CPS(달러)","주당배당금
DPS(달러)","주가수익배수
PER(배)","주가순자산배수
PBR(배)","주가매출액배수
PSR(배)","주가현금흐름
배수 PCR(배)","자기자본이익률
ROE(%)","총자산이익률
ROA(%)","투하자본이익률
ROIC(%)",부채비율(%),유동비율(%),"이자보상
배수(배)"
ABT,25.09.30,2025,FY4Q,7.97,29.43,25.17,5.23,2.32,16.68,4.55,5.32,25.56,28.1,16.9,19.0,64.2,170.3,15.0
ABT,25.06.30,2025,FY3Q,7.97,29.15,24.73,5.18,2.28,16.92,4.65,5.49,26.17,29.8,17.4,19.5,65.3,182.1,14.0
ABT,25.03.31,2025,FY2Q,7.7,28.21,24.35,5.15,2.24,17.04,4.69,5.43,25.7,30.6,17.4,19.6,66.0,178.0,13.0
ABT,24.12.31,2025,FY1Q,7.64,27.53,24.11,4.92,2.2,14.64,4.1,4.68,22.92,32.2,17.8,20.1,70.0,167.1,12.0
ABT,24.09.30,2024,FY4Q,3.29,23.01,23.7,5.02,2.16,34.4,4.96,4.81,22.73,14.7,7.9,20.9,85.8,159.7,12.0
ABT,24.06.30,2024,FY3Q,3.17,22.7,23.36,4.53,2.12,32.53,4.57,4.44,22.88,14.3,7.6,20.2,84.6,168.0,11.0
ABT,24.03.31,2024,FY2Q,3.21,22.44,23.17,4.1,2.08,35.03,5.05,4.89,27.61,14.7,7.7,20.5,85.6,159.6,10.0
ABT,23.12.31,2024,FY1Q,3.26,22.31,23.05,4.17,2.04,33.39,4.92,4.76,26.32,15.1,7.8,21.1,88.6,163.8,10.0
ABT,23.09.30,2023,FY4Q,2.94,21.68,22.98,3.77,2.0,32.56,4.46,4.21,25.66,13.8,7.0,20.0,91.3,173.8,9.0
ABT,23.06.30,2023,FY3Q,2.93,21.49,23.11,4.28,1.96,36.73,5.07,4.71,25.44,14.0,7.0,20.5,96.1,163.8,10.0
ABT,23.03.31,2023,FY2Q,3.29,21.38,23.83,4.97,1.92,30.32,4.73,4.24,20.32,15.8,7.9,22.5,98.2,167.8,12.0
ABT,22.12.31,2023,FY1Q,3.91,21.05,24.9,5.47,1.88,27.61,5.19,4.39,19.98,19.1,9.4,26.1,101.7,162.9,15.0
ABT,22.09.30,2022,FY4Q,4.43,20.47,25.69,5.89,1.86,21.48,4.72,3.76,16.42,21.9,10.7,28.6,102.9,185.9,18.0
ABT,22.06.30,2022,FY3Q,4.79,20.93,25.97,5.84,1.84,22.24,5.18,4.18,18.57,23.9,11.5,30.7,102.1,201.4,19.0
ABT,22.03.31,2022,FY2Q,4.31,20.22,25.27,5.65,1.82,27.02,5.86,4.69,20.95,22.0,10.4,28.1,107.7,185.3,17.0
ABT,21.12.31,2022,FY1Q,3.94,20.3,24.27,5.93,1.8,35.2,6.91,5.78,23.63,20.4,9.6,26.1,108.7,185.0,16.0
APP,25.09.30,2025,FY4Q,8.23,4.35,16.31,9.92,0.0,85.88,164.9,44.03,72.37,262.9,47.4,63.5,330.4,325.0,13.0
APP,25.06.30,2025,FY3Q,7.03,3.45,14.62,8.43,0.0,48.77,101.5,23.93,41.48,257.7,42.3,54.6,410.6,273.6,10.0
APP,25.03.31,2025,FY2Q,5.53,1.69,12.96,7.47,0.0,46.93,156.54,20.46,35.49,224.6,34.4,44.4,891.7,168.0,7.0
APP,24.12.31,2025,FY1Q,4.53,3.24,13.98,6.23,0.0,68.91,99.72,23.08,51.77,175.1,28.9,38.5,438.6,218.7,6.0
APP,24.09.30,2024,FY4Q,3.29,2.79,10.56,5.17,0.0,37.93,46.51,12.27,25.05,122.1,21.6,34.3,480.1,240.6,5.0
APP,24.06.30,2024,FY3Q,2.34,2.43,10.69,4.14,0.0,33.23,33.6,7.63,19.69,83.9,15.8,27.7,546.7,227.6,4.0
APP,24.03.31,2024,FY2Q,1.67,2.26,10.8,3.47,0.0,39.85,31.14,6.53,20.31,51.3,11.3,22.7,592.3,210.9,3.0
APP,23.12.31,2024,FY1Q,0.98,3.57,9.33,3.02,0.0,37.7,10.65,4.08,12.61,24.6,6.5,16.7,326.6,171.2,2.0
APP,23.09.30,2023,FY4Q,0.29,3.21,8.88,2.58,0.0,133.84,12.68,4.58,15.78,6.5,1.9,10.1,356.8,161.5,1.0
APP,23.06.30,2023,FY3Q,0.05,4.25,8.07,2.4,0.0,477.06,6.18,3.26,10.95,1.1,0.3,6.5,261.3,286.6,1.0
APP,23.03.31,2023,FY2Q,-0.23,5.09,7.79,1.96,0.0,-72.18,3.12,2.04,8.09,-4.3,-1.4,4.2,211.6,330.6,1.0
APP,22.12.31,2023,FY1Q,-0.52,5.12,7.58,1.11,0.0,-20.31,2.06,1.39,9.48,-10.0,-3.2,-0.9,207.3,334.9,0.0
APP,22.09.30,2022,FY4Q,-0.23,5.1,7.87,0.91,0.0,-84.81,3.84,2.48,21.59,-4.3,-1.4,1.0,208.5,335.6,0.0
APP,22.06.30,2022,FY3Q,-0.29,5.1,7.82,0.76,0.0,-119.85,6.83,4.46,45.74,-5.4,-1.9,0.7,211.0,281.9,0.0
APP,22.03.31,2022,FY2Q,-0.19,5.41,7.57,0.72,0.0,-281.23,10.29,7.35,77.14,-3.6,-1.4,0.1,206.5,292.7,0.0
APP,21.12.31,2022,FY1Q,0.09,6.58,8.6,1.11,0.0,1112.64,16.5,12.63,97.48,2.1,0.7,6.0,188.3,505.4,1.0
AXP,25.09.30,2025,FY4Q,14.9,46.85,94.36,30.55,3.04,21.93,7.13,3.54,10.93,33.4,3.7,4.6,817.9,-,-
AXP,25.06.30,2025,FY3Q,14.25,46.29,90.88,18.76,2.92,22.03,6.92,3.52,17.07,32.9,3.6,4.5,814.7,-,-
AXP,25.03.31,2025,FY2Q,14.32,44.51,88.52,18.92,2.8,18.39,6.06,3.05,14.25,34.1,3.7,4.7,804.6,-,-
AXP,24.12.31,2025,FY1Q,14.01,42.51,85.34,19.73,2.7,20.64,6.91,3.44,14.88,34.3,3.7,4.7,797.0,-,-
AXP,24.09.30,2024,FY4Q,13.59,41.96,83.67,21.24,2.6,19.49,6.49,3.26,12.82,34.1,3.7,4.7,812.2,-,-
AXP,24.06.30,2024,FY3Q,13.4,41.26,81.16,35.05,2.5,16.93,5.64,2.87,6.64,34.6,3.7,4.8,821.5,-,-
AXP,24.03.31,2024,FY2Q,12.14,39.9,78.92,33.96,2.4,18.32,5.73,2.9,6.73,32.5,3.5,4.4,836.1,-,-
AXP,23.12.31,2024,FY1Q,11.21,38.17,75.64,25.25,2.32,16.3,4.87,2.46,7.36,31.0,3.4,4.2,830.6,-,-
AXP,23.09.30,2023,FY4Q,10.67,37.33,74.29,27.63,2.24,13.71,4.02,2.02,5.43,30.6,3.3,4.0,817.1,-,-
AXP,23.06.30,2023,FY3Q,9.84,36.09,71.63,22.28,1.64,17.4,4.85,2.44,7.85,29.4,3.2,3.9,817.1,-,-
AXP,23.03.31,2023,FY2Q,9.52,34.98,70.17,22.64,2.08,16.98,4.72,2.35,7.3,29.6,3.3,3.9,807.4,-,-
AXP,22.12.31,2023,FY1Q,9.85,32.9,67.48,28.07,1.99,14.69,4.47,2.18,5.24,31.9,3.6,4.3,824.1,-,-
AXP,22.09.30,2022,FY4Q,9.98,32.01,66.34,23.6,1.9,13.2,4.23,2.04,5.73,33.4,3.8,4.6,797.7,-,-
AXP,22.06.30,2022,FY3Q,9.78,30.9,63.78,23.03,2.33,13.72,4.49,2.18,6.03,33.0,3.9,4.8,783.6,-,-
AXP,22.03.31,2022,FY2Q,10.01,29.57,60.54,21.46,1.29,17.92,6.34,3.1,8.74,33.5,4.2,5.2,775.0,-,-
AXP,21.12.31,2022,FY1Q,10.02,28.11,55.51,18.56,1.72,15.72,5.71,2.89,8.65,33.4,4.3,5.4,750.2,-,-
CRM,25.07.31,2025,FY4Q,6.89,64.15,41.32,13.78,1.63,37.07,4.03,6.25,18.75,11.0,6.8,43.2,59.1,112.4,-
CRM,25.04.30,2025,FY3Q,6.4,63.19,40.2,13.88,1.62,41.62,4.26,6.69,19.39,10.4,6.4,39.7,62.5,106.9,-
CRM,25.01.31,2025,FY2Q,6.36,63.59,39.39,13.61,1.6,52.77,5.35,8.63,24.98,10.5,6.5,38.0,68.3,106.2,-
CRM,24.10.31,2025,FY1Q,6.08,61.22,38.9,13.1,1.2,46.93,4.76,7.49,22.24,10.1,6.3,35.5,56.2,110.6,-
CRM,24.07.31,2024,FY4Q,5.75,59.79,37.83,12.52,0.8,44.53,4.35,6.88,20.77,9.6,5.9,33.7,59.9,104.1,-
CRM,24.04.30,2024,FY3Q,5.56,61.53,36.85,12.36,0.4,47.69,4.37,7.3,21.76,9.3,5.8,31.5,61.2,110.6,-
