Date,SPY_NAV
2022-11-07,379.817175
2022-11-08,381.939921
2022-11-09,374.104212
2022-11-10,394.806754
2022-11-11,398.441876
2022-11-14,394.981369
2022-11-15,398.440753
2022-11-16,395.252992
2022-11-17,394.11853
2022-11-18,395.994539
2022-11-21,394.508067
2022-11-22,399.847101
2022-11-23,402.219073
2022-11-25,402.113246
2022-11-28,395.938724
2022-11-29,395.34321
2022-11-30,407.637019
2022-12-01,407.350161
2022-12-02,406.895126
2022-12-05,399.65116
2022-12-06,393.93452
2022-12-07,393.213026
2022-12-08,396.212594
2022-12-09,393.327084
2022-12-12,398.917757
2022-12-13,401.827393
2022-12-14,399.481629
2022-12-15,389.600564
2022-12-16,383.529151
2022-12-19,380.096694
2022-12-20,380.503393
2022-12-21,386.214433
2022-12-22,380.631351
2022-12-23,382.872024
2022-12-27,381.351228
2022-12-28,376.7703
2022-12-29,383.39569
2022-12-30,382.442976
2023-01-03,380.924272
2023-01-04,383.812457
2023-01-05,379.407639
2023-01-06,388.074328
2023-01-09,387.845916
2023-01-10,390.549286
2023-01-11,395.568358
2023-01-12,396.963572
2023-01-13,398.560188
2023-01-17,397.750146
2023-01-18,391.566604
2023-01-19,388.628287
2023-01-20,395.977031
2023-01-23,400.675803
2023-01-24,400.399938
2023-01-25,400.330254
2023-01-26,404.762438
2023-01-27,405.774102
2023-01-30,400.554818
2023-01-31,406.418887
2023-02-01,410.66263
2023-02-02,416.710186
2023-02-03,412.417471
2023-02-06,409.914318
2023-02-07,415.190873
2023-02-08,410.610606
2023-02-09,407.053331
2023-02-10,408.027073
2023-02-13,412.751272
2023-02-14,412.68505
2023-02-15,413.928868
2023-02-16,408.27209
2023-02-17,407.215252
2023-02-21,399.075954
2023-02-22,398.456153
2023-02-23,400.605577
2023-02-24,396.410546
2023-02-27,397.673662
2023-02-28,396.508858
2023-03-01,394.664665
2023-03-02,397.707279
2023-03-03,404.137748
2023-03-06,404.427837
2023-03-07,398.260716
2023-03-08,398.85522
2023-03-09,391.583766
2023-03-10,385.891374
2023-03-13,385.264172
2023-03-14,391.808009
2023-03-15,389.096649
2023-03-16,395.963375
2023-03-17,390.118165
2023-03-20,393.600994
2023-03-21,398.739142
2023-03-22,392.205352
2023-03-23,393.408882
2023-03-24,395.625338
2023-03-27,396.275884
2023-03-28,395.661109
2023-03-29,401.291401
2023-03-30,403.63726
2023-03-31,409.476928
2023-04-03,410.988937
2023-04-04,408.643605
2023-04-05,407.675651
2023-04-06,409.214559
2023-04-10,409.630402
2023-04-11,409.612539
2023-04-12,407.927954
2023-04-13,413.397137
2023-04-14,412.541011
2023-04-17,413.909636
2023-04-18,414.262513
2023-04-19,414.225832
2023-04-20,411.807102
2023-04-21,412.182377
2023-04-24,412.532047
2023-04-25,406.033596
2023-04-26,404.477554
2023-04-27,412.390103
2023-04-28,415.830292
2023-05-01,415.662236
2023-05-02,410.855184
2023-05-03,407.993532
2023-05-04,405.094656
2023-05-05,412.589362
2023-05-08,412.781934
2023-05-09,410.922343
2023-05-10,412.77248
2023-05-11,412.159638
2023-05-12,411.598201
2023-05-15,412.868704
2023-05-16,410.261424
2023-05-17,415.212673
2023-05-18,419.200505
2023-05-19,418.602948
2023-05-22,418.714978
2023-05-23,414.03459
2023-05-24,411.019307
2023-05-25,414.623298
2023-05-26,420.04619
2023-05-30,420.079832
2023-05-31,417.605769
2023-06-01,421.784776
2023-06-02,427.918099
2023-06-05,427.069623
2023-06-06,428.081309
2023-06-07,426.46534
2023-06-08,429.144663
2023-06-09,429.644909
2023-06-12,433.637598
2023-06-13,436.649605
2023-06-14,437.107348
2023-06-15,442.489445
2023-06-16,439.235131
2023-06-20,437.156551
2023-06-21,434.890503
2023-06-22,436.541787
2023-06-23,433.199445
2023-06-26,431.262413
2023-06-27,436.201517
2023-06-28,436.047362
2023-06-29,438.049601
2023-06-30,443.436787
2023-07-03,443.973963
2023-07-05,443.152627
2023-07-06,439.675379
2023-07-07,438.486922
2023-07-10,439.542482
2023-07-11,442.511137
2023-07-12,445.796751
2023-07-13,449.616701
2023-07-14,449.16639
2023-07-17,450.897539
2023-07-18,454.105133
2023-07-19,455.179692
2023-07-20,452.150489
2023-07-21,452.292126
2023-07-24,454.122776
2023-07-25,455.406276
2023-07-26,455.343038
2023-07-27,452.451665
2023-07-28,456.957546
2023-07-31,457.639461
2023-08-01,456.43172
2023-08-02,450.126472
2023-08-03,449.002208
2023-08-04,446.657088
2023-08-07,450.69245
2023-08-08,448.795165
2023-08-09,445.677304
2023-08-10,445.843613
2023-08-11,445.428504
2023-08-14,448.012583
2023-08-15,442.912646
2023-08-16,439.641451
2023-08-17,436.341748
2023-08-18,436.301756
2023-08-21,439.304062
2023-08-22,438.090487
2023-08-23,442.925427
2023-08-24,436.989464
2023-08-25,439.968331
2023-08-28,442.721851
2023-08-29,449.142851
2023-08-30,450.934041
2023-08-31,450.318909
2023-09-01,451.146553
2023-09-05,449.278316
2023-09-06,446.164936
2023-09-07,444.794418
2023-09-08,445.456214
2023-09-11,448.441248
2023-09-12,445.910697
2023-09-13,446.4652
2023-09-14,450.34126
2023-09-15,443.314824
2023-09-18,443.640264
2023-09-19,442.684615
2023-09-20,438.553262
2023-09-21,431.374434
2023-09-22,430.388374
2023-09-25,432.125493
2023-09-26,425.78463
2023-09-27,425.8901
